id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
134360720,9715219547709,"       Pin Sinh Thái thân thiện và an toàn cho sức khoẻ con người   Sử dụng cho điều khiển điều hoà , bàn phím không dây , điều khiển tivi , máy đo huyết áp và nhiều thiết bị sử dụng pin AAA ( Pi...",40000,40000,,0,0,0,,available,,1000,1000,,18804,Panasonic
20104505,6162344461566,"Nếu ống hút cỏ bàng mỏng manh thích hợp dùng cho một lần thì ống hút kim loại lại là lựa chọn bền vững theo thời gian, chi phí ban đầu hơi cao nhưng tuổi thọ vô biên.Ống hút kim loại được làm từ thép ...",42900,42900,,0,0,3,,available,,1000,1000,,111461,OEM
657076,4139217991903,   Màng Bọc Thực Phẩm PE Ringo 150 (30cm x 150m)  được sản xuất từ chất liệu nhựa Polyethylene (PE) thông qua quy trình kiểm nghiệm chất lượng 6 tháng / 1 lần nhằm đảm bảo         an toàn cho sức khỏ...,103000,103000,,0,0,74,,available,,1000,1000,,114514,RINGO
164848242,5989450387140,"Chậu Gội Đầu Tại Giường, Tại Nhà Cho Người Già Bệnh Nhân - Thau Chậu Máng Gội ĐầuKích thước : Dài 47cm x Rộng 38cm x Cao 12 cmMô nhựa tròn kê đầu Cao 5cm x Bán kính 11cmỐng dẫn nước có thể kéo dài ra...",115000,130000,,15000,12,34,,available,,1000,1000,,3866781,Nhà của Mẹ
32178075,8059080958444,"  Bộ Nồi Inox 4 Đáy Nagakawa NAG1304 bao gồm 3 nồi với 3 kích thước: 160mm; 200mm; 240mm.Thiết kế thân nồi thẳng cao, đơn giản, rất đẹp mắt với màu inox sáng bóng, được làm bằng chất liệu inox cao...",500000,700000,,200000,29,338,,available,,1000,1000,,110935,Nagakawa
90530495,8596016540268,"Đèn bàn là một vật dụng không thể thiếu cho căn phòng làm việc của bạn. Một chiếc đèn tốt không chỉ giúp bạn làm việc hiệu quả, tập trung mà còn giúp căn phòng trở nên sang trọng, thanh lịch hơn.Đèn...",233000,320000,,87000,27,191,,available,,1000,1000,,4251381,Moontronics
169696716,1000542131829,"Bình Đựng Nước 2L Dễ Thương Kèm Ống Hút , Có Vạch Báo Giờ Uống Nước - Hàng Loại 1 Chính Hãng*Ưu điểm:- Bình đựng nước Sports Cup dung tích bình có thể lên đến tận 2L nước!!! Em đảm bảo mọi người kh...",124000,218000,,94000,43,75,,available,,1000,1000,,5033337,PaKaSa
174262175,4140804787284,"Chào bạn, có phải Bạn đang muốn tìm hiểu bát sen tắm của vòi tắm hoa sen nóng lạnh Pimisi, với tay sen bằng nhựa cao cấp mạ màu inox sáng bóng, theo công nghệ đầu phun mưa tăng áp tiết kiệm nước và ổn...",124000,200000,,76000,38,120,,available,,1000,1000,,5085219,Pimisi
55465365,5441396976176,"Pin Max 8 + 4 Viên Energizer E92 BP8+4 AAA là sản phẩm có thể sử dụng cho các loại máy ảnh, điều khiển từ xa, đèn Pin, máy chơi game không dây, máy nghe nhạc MP3 và các thiết bị kỹ thuật số cá nhân k...",155000,155000,,0,0,197,,available,,1000,1000,,19312,Energizer
205819517,1484625154960,"PHÂN BIỆT 3 PHÂN LOẠI:+ Bóng W3: Dùng được với app Yeelight, Mi Home, liên kết được với Google Assistant và Amazon Alexa. (8W)+ Bóng W4: Phiên bản mới nhất 2022, Chức năng giống bóng W3, ngoài ra nó...",280000,320000,,40000,13,40,,available,,1000,1000,,407203,Yeelight
185654331,3992180626153,"Hộp Thủy Tinh, Lọ Thủy Tinh, Hũ Thủy Tinh Nắp Gỗ 200ml 350ml 500ml 750ml 1000ml 1200ml 1600ml- Chất liệu thủy tinh cao cấp nắp gỗ có gioăng chống ẩm thích hợp đựng thực phẩm, đồ khô, ngũ cố- Ngoài ra ...",52000,52000,,0,0,22,,available,,1000,1000,,821321,JIMMEAL
67416013,7695557547592,"Đặc điểm nổi bậtCốc giữ nhiệt Elmich inox 304 470ml EL3668 được làm từ chất liệu cao cấp, tuyệt đối an toàn với sức khỏe.Lớp trong cùng làm từ inox 304, cao cấp không gây phản ứng hóa học khi tiếp ...",399000,399000,,0,0,289,,available,,1000,1000,,31627,Elmich
11341623,6307454382541,"Dùng cho các thiết bị cần năng lượng cao như: Máy chụp hình, máy nhắn tin, máy hát đĩa CD, trò chơi điện tử và các thiết bị y tế cầm tay, Radio, đồng hồ treo tường, Walkman, Flash chụp hình, đèn pin, ...",103000,103000,,0,0,59,,available,,1000,1000,,21437,Maxell
3677753,4686778654964,"Thiết kế sang trọng, tiện lợiBình lọc nước Brita được thiết kế sang trọng, tiện lợi và kiểu dáng độc đáo trang nhã, gọn nhẹ không sử dụng điện với khả năng lọc nhanh nên bình lọc nước Brita sẽ rất dễ...",1649000,2499000,,850000,34,691,,available,,1000,1000,,199495,Brita
76119803,6433258788385,"BỘ GA GIƯỜNG MICROFIBER XÁM ELM102 CÓ 2 LOẠI: GA BỌC CÓ HỌA TIẾT VÀ GA BỌC HỌA TIẾT TRƠN (GIAO MÀU NGẪU NHIÊN)Bộ ga chun Microfiber Xám Everon Lite ELM102 được may từ sợi microfiber mềm mại, khả nă...",770000,770000,,0,0,56,,available,,1000,1000,,204301,Everon Lite
142261128,4722100187750,Hỗ trợ giảm đau lưng và đau thần kinh tọa khi ngồi làm việc với Đệm Ngồi Memory Foam NOOZNgồi làm việc trong thời gian dài sẽ gây áp lực lớn đến lưng và hông của bạn.Với thiết kế công thái học kèm c...,329000,450000,,121000,27,199,,available,,1000,1000,,3797113,NOOZ
127693039,4966067108160,"Bịt kín mọi KHE NỨT , chống thấm TƯỜNNG, TRẦN, MÁI NHÀ , SÂN THƯỢNG, NHÀ VỆ SINH, MÁNG SÓI, … Bám dính trên tất cả các chất liệu: Bê tông, gạch men, đá hoa, sắt, tôn, nhựa,… Giãn nở theo tất cả các vậ...",891000,1290000,,399000,31,103,,available,,1000,1000,,5382095,TAIKOMI
74615464,9812170649344,Phin pha cà phê nhôm Trung Nguyên( Không Hoa Văn)Phin cà phê Trung Nguyên được sản xuất dựa trên tiêu chuẩn kỹ thuật của các chuyên gia cà phê để tạo ra những ly cà phê tuyệt hảo.Phin cà phê là một...,30000,30000,,0,0,221,,available,,1000,1000,,155734,Trung Nguyên
7699062,9163970026348,"Chảo Nhôm Chống Dính Lock&Lock Baum Marble 1 Tay Cầm LBU1283 (28cm) mang đến sự tinh tế và sang trọng, là đồ dùng nhà bếp được trau chuốt bởi thiết kế hiện đại và mới mẻ.Sản phẩm sử dụng lớp chố...",311000,567000,,256000,45,447,,available,,1000,1000,,48077,LocknLock
141971329,4913407983572,"Túi Đựng Hộp Cơm Grepaco Giữ Nhiệt Nóng Lạnh Dạng Đứng Có Ngăn Phụ Đựng Đồ Thức Ăn Văn Phòng, Du Lịch – Vải Bố Canvas, Kích Thước Size Vừa, Kiểu Giỏ Xách Thời Trang Nam Nữ - Tặng Túi Đựng Muỗng Nĩa - ...",69000,69000,,0,0,83,,available,,1000,1000,,5076287,GREPACO
187622257,4709231382980,"Một số note- Sản phẩm do SIB Decor trực tiếp sản xuất nên luôn có sẵn hàng. Nếu bạn ở HCM và muốn nhận hàng ngay, hãy nhắn cho SIB qua kênh CHAT.- Giá sản phẩm hiển thị tương ứng với số lượng 01 kệ ...",295000,360000,,65000,18,84,,available,,1000,1000,,201089,SIB DECOR
